SiteNumber,Type,LocationID,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,ARPLatitudeS,Latitude,ARPLongitudeS,Longitude,Elevation,ChartName,ActiviationDate,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights
24241.8*A,AIRPORT,95TS,ASW,TEX,TX,TEXAS,YOUNG,TX,LOVING,ROB,PR,PR,119631,33.23083333,354563,-98.48972222,1310,DALLAS-FT WORTH,10/1/2002,,,,
24243.4*A,AIRPORT,47XS,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,BARTOS FARM,PR,PR,120501,33.4725,366427,-101.7852778,3153,DALLAS-FT WORTH,5/1/1978,,,,
24243.2*H,HELIPORT,6TX0,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,DEPARTMENT OF PUBLIC SAFETY,PU,PR,120930.306,33.59175167,366651.599,-101.8476664,3211,DALLAS-FT WORTH,9/1/1973,,,,
24243.8*H,HELIPORT,0XA6,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,JAXON LANDING,PR,PR,120420,33.45,366980.4,-101.939,3270,DALLAS-FT WORTH,1/1/2006,,,,
24243.3*H,HELIPORT,TS66,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,LUBBBOCK METHODIST HOSPITAL,PR,PR,120899,33.58305556,366819,-101.8941667,3225,DALLAS-FT WORTH,11/1/1988,,,,
24243.1*A,AIRPORT,F82,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,LUBBOCK EXECUTIVE AIRPARK,PR,PU,120548.313,33.4856425,366525.588,-101.8126633,3200,DALLAS-FT WORTH,2/1/1963,N,N,N,N
24243.7*H,HELIPORT,XA25,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,LUBBOCK HEART HOSPITAL,PR,PR,120973,33.60361111,366894,-101.915,3243,DALLAS-FT WORTH,7/1/2004,,,,
24245.*A,AIRPORT,LBB,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,LUBBOCK PRESTON SMITH INTL,PU,PU,121189.2,33.66366667,366554,-101.8205556,3282,DALLAS-FT WORTH,11/1/1937,N,Y,N,Y
24243.22*H,HELIPORT,XA06,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,MDR 1,PR,PR,120506.44,33.47401111,367155,-101.9875,3300,DALLAS-FT WORTH,8/1/2003,,,,
24243.6*A,AIRPORT,8XS8,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,REESE AIRPARK,PR,PR,120925,33.59027778,367332,-102.0366667,3338,ALBUQUERQUE,2/1/2002,,,,
