SiteNumber,Type,LocationID,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,ARPLatitudeS,Latitude,ARPLongitudeS,Longitude,Elevation,ChartName,ActiviationDate,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights
50009.*A,AIRPORT,ADK,AAL,NONE,AK,ALASKA,ALEUTIANS WEST,AK,ADAK ISLAND,ADAK,PU,PU,186760.8883,51.87802453,635925.3093,-176.6459193,19,W ALEUTIAN ISLS,4/1/1949,N,N,N,Y
50016.1*A,AIRPORT,AKK,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,AKHIOK,AKHIOK,PU,PU,204979.287,56.93869083,555057.2,-154.1825556,44,KODIAK,11/1/1979,N,N,,Y
50017.*A,AIRPORT,Z13,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIACHAK,AKIACHAK,PU,PU,219289.715,60.91380972,581375.985,-161.4933292,23,MC GRATH,1/1/1968,N,N,N,Y
50017.1*C,SEAPLANE BASE,KKI,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIACHAK,AKIACHAK,PU,PU,219268.313,60.90786472,581166.278,-161.4350772,18,MC GRATH,7/1/1966,N,N,N,N
50020.*A,AIRPORT,AKI,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIAK,AKIAK,PU,PU,219250.43,60.90289722,580430.1,-161.2305833,39,MC GRATH,7/1/1966,N,N,N,Y
50022.*C,SEAPLANE BASE,KQA,AAL,NONE,AK,ALASKA,ALEUTIANS EAST,AK,AKUTAN,AKUTAN,PU,PU,194882.04,54.1339,596802.18,-165.7783833,0,DUTCH HARBOR,,N,N,N,N
50022.1*A,AIRPORT,7AK,AAL,NONE,AK,ALASKA,ALEUTIANS EAST,AK,AKUTAN,AKUTAN,PU,PU,194920.6,54.14461111,596174.79,-165.6041083,129,DUTCH HARBOR,7/1/2012,,,,
50024.1*A,AIRPORT,AUK,AAL,NONE,AK,ALASKA,WADE HAMPTON,AK,ALAKANUK,ALAKANUK,PU,PU,225659,62.68305556,592999.9,-164.7221944,21,BETHEL,,N,N,N,Y
50027.52*C,SEAPLANE BASE,Z33,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,ALEKNAGIK,PR,PU,213386.321,59.27397806,571044.921,-158.6235892,7,KODIAK,1/1/1966,N,N,N,N
50027.53*A,AIRPORT,5A8,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,ALEKNAGIK /NEW,PU,PU,213417.2,59.28255556,571024.32,-158.6178667,63,KODIAK,12/1/1982,,,,Y
50027.6*A,AIRPORT,4AK7,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,ALEKNAGIK MISSION STRIP,PR,PR,213411.324,59.28092333,570949.921,-158.5972003,150,KODIAK,,N,N,N,N
50027.51*A,AIRPORT,Z25,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,TRIPOD,PU,PU,213347.325,59.26314583,570807.919,-158.5577553,225,KODIAK,1/1/1966,N,N,N,N
50029.1*A,AIRPORT,6A8,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,ALLAKAKET,ALLAKAKET,PU,PU,239586.6,66.55183333,549439.8,-152.6221667,441,FAIRBANKS,10/1/1999,,,,
50029.61*A,AIRPORT,AFM,AAL,NONE,AK,ALASKA,NORTHWEST ARCTIC,AK,AMBLER,AMBLER,PU,PU,241583.1,67.10641667,568287,-157.8575,292,FAIRBANKS,,N,N,,Y
50031.*A,AIRPORT,80A,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,AMERICAN CREEK,AMERICAN CREEK,PU,PU,234374.335,65.10398194,544238.04,-151.1772333,513,FAIRBANKS,8/1/1958,N,N,N,N
50031.5*C,SEAPLANE BASE,AK81,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,AMOOK BAY,AMOOK BAY,PR,PR,206897.377,57.47149361,553735.298,-153.8153606,0,KODIAK,6/1/1963,N,N,N,N
50032.*A,AIRPORT,AKP,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,ANAKTUVUK PASS,ANAKTUVUK PASS,PU,PU,245281,68.13361111,546276,-151.7433333,2106,POINT BARROW,8/1/1963,N,N,N,Y
50037.3*A,AIRPORT,AK00,AAL,NONE,AK,ALASKA,KENAI PENINSULA,AK,ANCHOR POINT,ANCHOR RIVER AIRPARK,PR,PR,215268,59.79666667,546708,-151.8633333,120,KODIAK,2/1/2000,,,,
50037.31*A,AIRPORT,00AK,AAL,NONE,AK,ALASKA,SEWARD,AK,ANCHOR POINT,LOWELL FIELD,PR,PR,215816,59.94888889,546092,-151.6922222,252,SEWARD,5/1/2006,,,,
50033.1*H,HELIPORT,2OK,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,ALASKA RGNL HOSPITAL,PU,PU,220365.73,61.21270278,539375.7,-149.8265833,137,ANCHORAGE,3/1/1993,,,,
50033.5*A,AIRPORT,A13,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,BOLD,PU,PU,220828.82,61.34133889,536395.97,-148.9988806,900,ANCHORAGE,8/1/1990,,,,
50033.*A,AIRPORT,CSR,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,CAMPBELL AIRSTRIP,PU,PR,220171.32,61.1587,539210.2,-149.7806111,286,ANCHORAGE,,N,N,N,
50033.2*H,HELIPORT,AK82,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,CAMPBELL BLM,PU,PR,220162.07,61.15613056,539252.28,-149.7923,235,ANCHORAGE,1/1/1971,N,N,N,Y
50035.2*C,SEAPLANE BASE,3C3,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,CAMPBELL LAKE SPB,PR,PU,220079.02,61.13306111,539790.84,-149.9419,20,ANCHORAGE,6/1/2004,,,,
50036.*A,AIRPORT,EDF,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,ELMENDORF AFB,MA,PR,220504.8715,61.25135319,539303.4924,-149.8065257,213,ANCHORAGE,3/1/1949,N,N,N,Y
50036.01*H,HELIPORT,AK91,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,ELMENDORF HOSPITAL,MA,PR,220463.023,61.23972861,539097.928,-149.7494244,228,ANCHORAGE,8/1/1966,N,N,N,
50036.02*A,AIRPORT,6AK5,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,FIRE ISLAND,PU,PR,220206.014,61.16833722,540577.993,-150.1605536,55,ANCHORAGE,,N,N,N,N
50033.4*A,AIRPORT,AK12,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,FLYING CROWN,PR,PR,219983.76,61.1066,539511.37,-149.8642694,150,ANCHORAGE,3/1/1990,,,,
50037.*C,SEAPLANE BASE,LHD,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,LAKE HOOD,PU,PU,220271.8974,61.18663817,539875.4104,-149.9653918,72,ANCHORAGE,6/1/1947,N,N,N,Y
50035.*A,AIRPORT,MRI,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,MERRILL FIELD,PU,PU,220368.7622,61.21354506,539441.0069,-149.8447241,136,ANCHORAGE,5/1/1947,,,,
50033.01*H,HELIPORT,AK38,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,PROVIDENCE HOSPITAL,PR,PR,220280.51,61.18903056,539358.59,-149.8218306,140,ANCHORAGE,11/1/1986,,,,
50033.02*A,AIRPORT,AA06,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,ANCHORAGE,SIXMILE LAKE,PR,PR,220643,61.28972222,539302,-149.8061111,85,ANCHORAGE,12/1/2008,,,,
50036.1*A,AIRPORT,9AK5,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,SKY HARBOR,PR,PR,220019.33,61.11648056,539347.57,-149.8187694,340,ANCHORAGE,6/1/1962,N,N,N,N
50034.*A,AIRPORT,ANC,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,TED STEVENS ANCHORAGE INTL,PU,PU,220226.9634,61.1741565,539993.4791,-149.9981886,151,ANCHORAGE,11/1/1951,N,Y,N,Y
50033.03*H,HELIPORT,AA04,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,ANCHORAGE,VIKING,PR,PR,220409.19,61.224775,539420.74,-149.8390944,72,ANCHORAGE,12/1/2008,,,,
50037.6*C,SEAPLANE BASE,AGN,AAL,NONE,AK,ALASKA,SITKA,AK,ANGOON,ANGOON,PU,PU,207012.799,57.50355528,484506.338,-134.5850939,0,JUNEAU,12/1/1950,N,N,N,Y
50038.*A,AIRPORT,ANI,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,ANIAK,ANIAK,PU,PU,221693.749,61.58159694,574354.954,-159.5430428,95,MC GRATH,8/1/1947,,,,
50039.*A,AIRPORT,ANN,AAL,NONE,AK,ALASKA,KETCHIKAN GATEWAY,AK,ANNETTE,ANNETTE ISLAND,PR,PR,198152.2569,55.04229358,473655.2377,-131.5708994,119,KETCHIKAN,10/1/1947,N,N,N,Y
50039.01*C,SEAPLANE BASE,Z43,AAL,NONE,AK,ALASKA,KETCHIKAN GATEWAY,AK,ANNETTE,TAMGAS HARBOR,PU,PU,198244.772,55.06799222,473605.037,-131.5569547,0,KETCHIKAN,,N,N,N,N
50039.1*A,AIRPORT,ANV,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,ANVIK,ANVIK,PU,PU,225530.4,62.64733333,576684.2,-160.1900556,297,MC GRATH,6/1/1963,,,,Y
50039.11*C,SEAPLANE BASE,K40,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,ANVIK,ANVIK,PU,PU,225562.406,62.65622389,576739.615,-160.2054486,52,MC GRATH,7/1/1967,N,N,N,N
50039.8*A,AIRPORT,ARC,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,ARCTIC VILLAGE,ARCTIC VILLAGE,PU,PU,245212.81,68.11466944,524085.895,-145.5794153,2092,POINT BARROW,,,,,
50040.5*A,AIRPORT,AKA,AAL,NONE,AK,ALASKA,ALEUTIANS WEST,AK,ATKA,ATKA,PU,PU,187994.11,52.22058611,627142.26,-174.2061833,56,W ALEUTIAN ISLS,2/1/1983,,,,Y
50044.*A,AIRPORT,4A2,AAL,NONE,AK,ALASKA,BETHEL,AK,ATMAUTLUAK,ATMAUTLUAK,PU,PU,219124.4,60.86788889,584187.4,-162.2742778,19,BETHEL,7/1/1977,N,N,,Y
50044.5*A,AIRPORT,ATK,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,ATQASUK,ATQASUK EDWARD BURNELL SR MEMORIAL,PU,PU,253681.6,70.46711111,566768.4,-157.4356667,101,CAPE LISBURNE,7/1/1971,N,N,N,Y
50046.*A,AIRPORT,ATU,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,ATTU,CASCO COVE CGS,CG,PR,190197.15,52.83254167,623431.9950E,#VALUE!,88,W ALEUTIAN ISLS,8/1/1949,N,N,N,
50053.*C,SEAPLANE BASE,BNF,AAL,NONE,AK,ALASKA,WRANGELL-PETERSBURG,AK,BARANOF,WARM SPRING BAY,PU,PU,205519.773,57.08882583,485399.309,-134.8331414,0,JUNEAU,12/1/1950,N,N,N,N
50054.3*A,AIRPORT,BRW,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,BARROW,WILEY POST-WILL ROGERS MEMORIAL,PU,PU,256625.5,71.28486111,564366.9,-156.7685833,48,POINT BARROW,,N,N,N,Y
50055.5*A,AIRPORT,BTI,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,BARTER ISLAND LRRS,BARTER ISLAND LRRS,MA,PU,252482.4,70.134,516894.7,-143.5818611,8,POINT BARROW,,N,N,Y,
50056.*C,SEAPLANE BASE,BQV,AAL,NONE,AK,ALASKA,SKAGWAY-YAKUTAT,AK,BARTLETT COVE,BARTLETT COVE,PU,PU,210438.748,58.45520778,489186.612,-135.88517,0,JUNEAU,1/1/1958,N,N,N,N
50056.5*A,AIRPORT,Z47,AAL,NONE,AK,ALASKA,NOME,AK,BASIN CREEK,BASIN CREEK,PR,PU,232844.725,64.67909028,595077.125,-165.2992014,143,NOME,8/1/1959,N,N,N,Y
50057.*A,AIRPORT,AK02,AAL,NONE,AK,ALASKA,KOBUK,AK,BEAR CREEK,BEAR CREEK 1,PU,PR,235943.592,65.53988667,579824.56,-161.0623778,575,NOME,7/1/1951,N,N,N,N
50057.2*A,AIRPORT,Z48,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,BEAR CREEK,BEAR CREEK 3,PU,PU,228857.793,63.57160917,562118.582,-156.1440506,740,MC GRATH,10/1/1951,N,N,N,N
50057.4*A,AIRPORT,Z52,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,BEAR LAKE,JOHNSONS LANDING,PU,PU,201732.068,56.03668556,576958.339,-160.2662053,130,KODIAK,2/1/1972,N,N,N,N
50058.*A,AIRPORT,WBQ,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,BEAVER,BEAVER,PU,PU,238904,66.36222222,530663.4,-147.4065,364,FAIRBANKS,11/1/1949,N,N,N,
50059.9*C,SEAPLANE BASE,KBE,AAL,NONE,AK,ALASKA,KETCHIKAN GATEWAY,AK,BELL ISLAND,BELL ISLAND HOT SPRINGS,PR,PR,201344.681,55.92907806,473658.086,-131.5716906,0,KETCHIKAN,5/1/1959,N,N,N,N
50059.95*A,AIRPORT,BLG,AAL,NONE,AK,ALASKA,KENAI-COOK INLET,AK,BELUGA,BELUGA,PR,PR,220222.6628,61.17296189,543763.4987,-151.0454163,87,ANCHORAGE,7/1/1962,N,N,N,N
50060.2*C,SEAPLANE BASE,Z59,AAL,NONE,AK,ALASKA,BETHEL,AK,BETHEL,BETHEL,PU,PU,218815.291,60.78202528,582275.264,-161.7431289,15,MC GRATH,7/1/1967,N,N,N,N
50061.1*A,AIRPORT,BET,AAL,NONE,AK,ALASKA,BETHEL,AK,BETHEL,BETHEL,PU,PU,218802.8,60.77855556,582613.8,-161.8371667,128,MC GRATH,11/1/1958,,,,
50060.1*C,SEAPLANE BASE,Z58,AAL,NONE,AK,ALASKA,BETHEL,AK,BETHEL,HANGAR LAKE,PU,PU,218868.293,60.79674806,582218.267,-161.7272964,17,MC GRATH,7/1/1967,N,N,N,Y
50062.*A,AIRPORT,BTT,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,BETTLES,BETTLES,PU,PU,240890.2,66.91394444,545504.6,-151.5290556,647,FAIRBANKS,1/1/1949,,,,
50062.01*C,SEAPLANE BASE,2A4,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,BETTLES,VOR LAKE WATERLANE,PU,PU,240794.8,66.88744444,545378.9,-151.4941389,648,FAIRBANKS,10/1/1999,,,,
50068.65*C,SEAPLANE BASE,D71,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,BEAVER LAKE,PU,PU,221670.5,61.57513889,539451.6,-149.8476667,150,ANCHORAGE,5/1/2003,,,,
50068.6*A,AIRPORT,BGQ,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,BIG LAKE,PU,PU,221524.86,61.53468333,539325.16,-149.8125444,157,ANCHORAGE,5/1/1951,,,,
50068.69*C,SEAPLANE BASE,6A7,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,BROCKER LAKE,PU,PU,221334.62,61.48183889,539183.68,-149.7732444,100,ANCHORAGE,5/1/2006,,,,
50068.681*A,AIRPORT,95AK,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,BROWN'S HOMESTEAD,PR,PR,221301.43,61.47261944,539936.89,-149.9824694,140,ANCHORAGE,1/1/2010,,,,
50068.66*H,HELIPORT,68AK,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,COWELL'S,PR,PR,221459.69,61.51658056,539751.89,-149.9310806,142,ANCHORAGE,7/1/2004,,,,
50068.63*A,AIRPORT,9AK7,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,CUBDIVISION,PR,PR,221723.39,61.58983056,539339.98,-149.8166611,250,ANCHORAGE,6/1/2002,,,,
50068.58*A,AIRPORT,08AK,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,FISHER,PR,PR,221650.7,61.56963889,539007.98,-149.7244389,200,ANCHORAGE,1/1/2007,,,,
50068.5*A,AIRPORT,02AA,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,H & H FIELD,PR,PR,221424,61.50666667,539683,-149.9119444,160,ANCHORAGE,3/1/2011,,,,
50068.53*C,SEAPLANE BASE,86AK,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,HOPPE'S,PR,PR,221585.15,61.55143056,539804.7,-149.94575,180,ANCHORAGE,5/1/2007,,,,
50068.52*C,SEAPLANE BASE,AA02,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,HORSESHOE LAKE,PR,PR,221657.33,61.57148056,539726.8,-149.9241111,140,ANCHORAGE,8/1/2007,,,,
50068.67*C,SEAPLANE BASE,L95,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,JONES LANDING,PU,PU,221597.18,61.55477222,539781.61,-149.9393361,180,ANCHORAGE,4/1/2006,,,,
50068.57*A,AIRPORT,AK86,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,KRAMER,PR,PR,221664.74,61.57353889,539680.86,-149.91135,150,ANCHORAGE,1/1/2007,,,,
50068.54*C,SEAPLANE BASE,91AK,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,KUCERA,PR,PR,221675,61.57638889,539796,-149.9433333,175,ANCHORAGE,5/1/2007,,,,
50068.64*A,AIRPORT,63AK,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,KUCERA RESIDENCE,PR,PR,221703.59,61.58433056,539777.16,-149.9381,189,ANCHORAGE,7/1/2002,,,,
50068.*C,SEAPLANE BASE,85AK,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,BIG LAKE,MARION,PR,PR,221433,61.50916667,539671,-149.9086111,150,ANCHORAGE,4/1/2007,,,,
50068.56*A,AIRPORT,20AK,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,OWEN FIELD,PR,PR,221413.64,61.50378889,539625.76,-149.8960444,150,ANCHORAGE,2/1/2007,,,,
50068.68*H,HELIPORT,AA07,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,BIG LAKE,SADDLEBACK ISLAND,PR,PR,221477.67,61.521575,539737.7,-149.9271389,150,ANCHORAGE,10/1/2008,,,,
50068.61*H,HELIPORT,AK87,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,TEAM LEVINE,PR,PR,221453.5,61.51486111,539744.44,-149.9290111,150,ANCHORAGE,5/1/2006,,,,
50068.62*A,AIRPORT,AK95,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,TWIN LAKE,PR,PR,221653.32,61.57036667,539204.54,-149.7790389,185,ANCHORAGE,8/1/1997,,,,
50068.59*A,AIRPORT,09AK,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,WEST BEAVER,PR,PR,221721.7,61.58936111,539450.4,-149.8473333,228,ANCHORAGE,1/1/2007,,,,
50068.51*C,SEAPLANE BASE,AA01,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,WEST BEAVER,PR,PR,221705.86,61.58496111,539447.51,-149.8465306,215,ANCHORAGE,8/1/2007,,,,
50068.7*A,AIRPORT,37AK,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,BIG MOUNTAIN,BIG MOUNTAIN,MA,PR,213700.488,59.36124667,558931.757,-155.2588214,663,KODIAK,,,,,
50068.78*A,AIRPORT,Z91,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,BIRCH CREEK,BIRCH CREEK,PU,PU,238588.1,66.27447222,524945.5,-145.8181944,439,FAIRBANKS,9/1/1980,,,,
50069.*A,AIRPORT,BCV,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,BIRCHWOOD,BIRCHWOOD,PU,PU,221097.4699,61.41596386,538230.5804,-149.5084946,82,ANCHORAGE,10/1/1949,,,,
50070.*A,AIRPORT,5BK,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,BLACK RAPIDS,BLACK RAPIDS,PU,PU,228726.527,63.53514639,525099.19,-145.8608861,2125,ANCHORAGE,9/1/1950,,,,
50071.72*A,AIRPORT,AK97,AAL,NONE,AK,ALASKA,CORDOVA-MCCARTHY,AK,BOSWELL BAY,BOSWELL BAY,PU,PR,217523.031,60.42306417,526125.274,-146.1459094,230,ANCHORAGE,7/1/1971,N,N,N,Y
50072.*A,AIRPORT,BYA,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,BOUNDARY,BOUNDARY,PU,PU,230681.89,64.07830278,508008.15,-141.113375,2940,DAWSON,,,,,Y
50072.5*A,AIRPORT,KTS,AAL,NONE,AK,ALASKA,NOME,AK,BREVIG MISSION,BREVIG MISSION,PU,PU,235192.8,65.33133333,599276.6,-166.4657222,38,NOME,,,,,
50073.*A,AIRPORT,AK98,AAL,NONE,AK,ALASKA,NOME,AK,BUCK CREEK,BUCK CREEK,PU,PR,236299.219,65.63867194,602948.905,-167.4858069,560,NOME,,N,N,N,N
50073.1*A,AIRPORT,BVK,AAL,NONE,AK,ALASKA,UNORGANIZED,AK,BUCKLAND,BUCKLAND,PU,PU,237533.6,65.98155556,580136.9,-161.1491389,29,NOME,,,,,Y
50075.1*A,AIRPORT,AK75,AAL,NONE,AK,ALASKA,UNORGANIZED,AK,CANDLE,CANDLE 2,PR,PR,237267.569,65.90765806,582934.701,-161.9263058,15,NOME,7/1/1951,,,,
50078.*A,AIRPORT,TTW,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,CANTWELL,CANTWELL,PR,PU,228208.337,63.39120472,536240.219,-148.9556164,2190,ANCHORAGE,10/1/1950,,,,
50078.12*A,AIRPORT,15AK,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,CANTWELL,GOLDEN NORTH AIRFIELD,PR,PR,228134.34,63.37065,535861.21,-148.8503361,2250,ANCHORAGE,9/1/1971,,,,
50080.6*H,HELIPORT,CDE,AAL,NONE,AK,ALASKA,WRANGELL-PETERSBURG,AK,CAPE DECISION,CAPE DECISION LIGHTHOUSE,PU,PR,201607.607,56.00211306,482887.221,-134.1353392,34,JUNEAU,5/1/1967,N,N,N,N
50082.*A,AIRPORT,LUR,AAL,NONE,AK,ALASKA,BARROW,AK,CAPE LISBURNE,CAPE LISBURNE LRRS,MA,PR,247950.46,68.87512778,597999.895,-166.1110819,14,CAPE LISBURNE,7/1/1951,N,N,N,
50084.*A,AIRPORT,EHM,AAL,NONE,AK,ALASKA,BETHEL,AK,CAPE NEWENHAM,CAPE NEWENHAM LRRS,MA,PR,211133.34,58.64815,583429.69,-162.0638028,531,KODIAK,10/1/1951,N,N,N,Y
50086.*C,SEAPLANE BASE,Z71,AAL,NONE,AK,ALASKA,PRINCE OF WALES,AK,CAPE POLE,CAPE POLE,PR,PU,201478.644,55.96629,481668.196,-133.7967211,0,KETCHIKAN,4/1/1962,,,,
50088.*A,AIRPORT,CZF,AAL,NONE,AK,ALASKA,WADE HAMPTON,AK,CAPE ROMANZOF,CAPE ROMANZOF LRRS,MA,PR,222414.5105,61.78180847,597733.0755,-166.0369654,464,BETHEL,1/1/1959,N,N,N,
50088.3*A,AIRPORT,26AK,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,CAPE SARICHEF,CAPE SARICHEF,PU,PR,196496.752,54.58243111,593692.131,-164.9144808,291,DUTCH HARBOR,4/1/1958,N,N,N,Y
50088.53*H,HELIPORT,CSP,AAL,NONE,AK,ALASKA,SKAGWAY-YAKUTAT,AK,CAPE SPENCER,CAPE SPENCER C G,PU,PR,209516.647,58.19906861,491899.718,-136.6388106,84,JUNEAU,5/1/1967,N,N,N,N
50090.*A,AIRPORT,CEM,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,CENTRAL,CENTRAL,PU,PU,236066.2,65.57394444,521211.2,-144.7808889,936,DAWSON,9/1/1947,,,,Y
50092.*A,AIRPORT,CIK,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,CHALKYITSIK,CHALKYITSIK,PU,PU,239922.1,66.64502778,517463.6,-143.7398889,548,DAWSON,9/1/1958,,,,
50093.95*A,AIRPORT,5CD,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,CHANDALAR CAMP,CHANDALAR SHELF,PU,PU,245035.582,68.06543944,538487.061,-149.5797392,3222,FAIRBANKS,5/1/1976,,,,Y
50094.3*A,AIRPORT,WCR,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,CHANDALAR LAKE,CHANDALAR LAKE,PU,PU,243016.26,67.50451667,534539.6,-148.4832222,1920,FAIRBANKS,8/1/1958,,,,Y
50095.*C,SEAPLANE BASE,CYM,AAL,NONE,AK,ALASKA,SITKA,AK,CHATHAM,CHATHAM,PR,PU,207053.778,57.51493833,485806.374,-134.946215,0,JUNEAU,6/1/1960,N,N,N,N
50095.12*A,AIRPORT,CFK,AAL,NONE,AK,ALASKA,BETHEL,AK,CHEFORNAK,CHEFORNAK,PU,PU,216492.465,60.13679583,591404.575,-164.2790486,38,BETHEL,6/1/1974,,,,Y
50095.4*A,AIRPORT,AK13,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,CHENA HOT SPRINGS,CHENA HOT SPRINGS,PR,PR,234186.572,65.05182556,525770.755,-146.0474319,1195,FAIRBANKS,8/1/1962,N,N,N,N
50095.7*A,AIRPORT,C05,AAL,NONE,AK,ALASKA,SEWARD,AK,CHENEGA,CHENEGA BAY,PU,PU,216282.82,60.07856111,532781.045,-147.9947347,68,SEWARD,9/1/1994,,,,
50096.*C,SEAPLANE BASE,KCN,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,CHERNOFSKI HARBOR,CHERNOFSKI HARBOR,PU,PU,192236.812,53.39911444,603186.84,-167.5519,0,DUTCH HARBOR,,N,N,N,N
50096.22*A,AIRPORT,VAK,AAL,NONE,AK,ALASKA,WADE HAMPTON,AK,CHEVAK,CHEVAK,PU,PU,221547.04,61.54084444,596163.21,-165.6008917,48,BETHEL,8/1/1973,N,N,N,Y
50096.9*A,AIRPORT,48AK,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,CHICKALOON,CASTLE MOUNTAIN AIRSTRIP,PR,PR,222455.12,61.79308889,534572.986,-148.4924961,1010,ANCHORAGE,4/1/1988,,,,
50097.*A,AIRPORT,CKX,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,CHICKEN,CHICKEN,PU,PU,230640.305,64.06675139,511024.85,-141.9513472,1640,DAWSON,11/1/1949,N,N,N,N
50097.53*A,AIRPORT,AJC,AAL,NONE,AK,ALASKA,LAKE AND PENINSULA,AK,CHIGNIK,CHIGNIK,PU,PU,202721.2655,56.31146264,570143.6575,-158.3732382,24,KODIAK,6/1/1968,N,N,N,Y
